"job_count",title,"company_name",location,"source_url",schedule
1,"Nhân Viên Thiết Kế","Công Ty TNHH Mỹ Thuật Đa Phương Tiện Time Design","- Hà Nội: Số 4A, Ngõ 371/17 La Thành, Phường Ô Chợ Dừa (quận Đống Đa cũ)","https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke/2129590.html","Thứ 2 - Thứ 7 (từ 08:30 đến 11:30)
Thứ 2 - Thứ 7 (từ 13:30 đến 17:30)"
1,"Nhân Viên IT (Quản Lý Hạ Tầng)","Goertek Vina","- Bắc Ninh: KCN Quế Võ 1 mở rộng, Phường Nam Sơn (Thành phố Bắc Ninh cũ)","https://www.topcv.vn/viec-lam/nhan-vien-it-quan-ly-ha-tang/2116405.html","Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)"
1,"Graphic Designer","CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ BLACK PEARL VIỆT NAM","- Hà Nội: Lô A21 ngõ 91 Trần Duy Hưng, Phường Cầu Giấy (quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/graphic-designer/2138190.html","8h00 - 17h00 (Từ thứ 2 - thứ 6 và hai thứ 7 cách tuần)"
1,"Nhân Viên Media & Design / Từ 1 Năm Kinh Nghiệm / Tại Phường Nghĩa Đô, Hà Nội","CÔNG TY CỔ PHẦN ACAC ACADEMY","- Hà Nội: Tầng 3, Tòa nhà 789 Building, 147 Hoàng Quốc Việt, Phường Nghĩa Đô (quận Bắc Từ Liêm, quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/nhan-vien-media-design-tu-1-nam-kinh-nghiem-tai-phuong-nghia-do-ha-noi/1374090.html","Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
Thứ 7 (từ 08:30 đến 12:00)"
1,"Quản Lý Dự Án - Thu Nhập Hấp Dẫn -  Làm Tại HCM","CÔNG TY TNHH IT-COMMUNICATIONS VIỆT NAM","- Hồ Chí Minh: 63 Quốc Hương, Phường An Khánh (Thành phố Thủ Đức cũ)","https://www.topcv.vn/viec-lam/quan-ly-du-an-thu-nhap-hap-dan-lam-tai-hcm/2129027.html","Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)"
1,"Nhân Viên Thiết Kế Đồ Họa","Công ty TNHH Thế Giới Kim Cương","- Hồ Chí Minh: 859/5 QL1a, Phường Thới An (Quận 12 cũ)","https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa/2078562.html","Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)"
1,"Sales Consultant/ Nhân Viên Hỗ Trợ Tư Vấn Phần Mềm","Công ty Cổ phần HouseNow","- Hà Nội: 216 Nguyễn Trãi, Phường Thanh Xuân (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/sales-consultant-nhan-vien-ho-tro-tu-van-phan-mem/2140981.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 2 - Thứ 6: 9h00 - 18h00
Thứ 7 cách tuần: 9h00 - 15h00"
1,"Sales Consultant/ Nhân Viên Hỗ Trợ Tư Vấn Phần Mềm","Công ty Cổ phần HouseNow","- Hồ Chí Minh: 273/3 Nguyễn Trọng Tuyển, Phường Phú Nhuận (quận Phú Nhuận cũ)","https://www.topcv.vn/viec-lam/sales-consultant-nhan-vien-ho-tro-tu-van-phan-mem/2140981.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 2 - Thứ 6: 9h00 - 18h00
Thứ 7 cách tuần: 9h00 - 15h00"
1,"Nhân Viên Kinh Doanh Phần Mềm","CÔNG TY TNHH CÔNG NGHỆ VÀ THƯƠNG MẠI ÁNH SÁNG","- Hồ Chí Minh: Happy City, Xã Bình Chánh (huyện Bình Chánh cũ)","https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem/1992594.html","Thứ 2 - Thứ 7 (từ 07:30 đến 17:30)
Sáng: 7h30-11h30
Chiều: 13h30 - 17h30"
1,"Nhân Viên IT","CÔNG TY CỔ PHẦN TẬP ĐOÀN VIỆT NGA","- Đồng Tháp: 710 Nguyễn Huệ, Phường Mỹ Trà (Thành phố Cao Lãnh, Thành phố Cao Lãnh cũ)","https://www.topcv.vn/viec-lam/nhan-vien-it/2145407.html","Thứ 2 - Thứ 7 (từ 07:30 đến 17:00)"
