STT,Tiêu đề,Công ty,Lương,Link
25,Chuyên Viên Hành Chính Nhân Sự - Làm Việc Tại Quận 02 - Đi Làm Ngay,CÔNG TY CỔ PHẦN MASFICO VIỆT NAM,12 - 17 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-hanh-chinh-nhan-su-lam-viec-tai-quan-02-di-lam-ngay/2109545.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
26,Chuyên Viên Tìm Kiếm Mặt Bằng (Lương Cứng 20tr),CÔNG TY CỔ PHẦN PHÁT TRIỂN TRẠM SẠC TOÀN CẦU V-GREEN,20 - 21 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-tim-kiem-mat-bang-luong-cung-20tr/2059189.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
27,Nhân Viên Kinh Doanh Thị Trường (Thu Nhập Lên Đến 25tr/ Tháng) - Đi Làm Ngay,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG TRỰC TUYẾN,15 - 25 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong-thu-nhap-len-den-25tr-thang-di-lam-ngay/2109964.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
28,HRBP Executive,CÔNG TY CỔ PHẦN DỊCH VỤ GIAO HÀNG NHANH,13 - 16 triệu,https://www.topcv.vn/viec-lam/hrbp-executive/2111506.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
29,Giáo Viên Tiếng Trung (Thu Nhập 9 - 15 Triệu),SPARK EDUCATION LIMITED COMPANY,9 - 15 triệu,https://www.topcv.vn/viec-lam/giao-vien-tieng-trung-thu-nhap-9-15-trieu/2115536.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
30,Sales Admin,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CỬU LONG MEKO,Thoả thuận,https://www.topcv.vn/viec-lam/sales-admin/2102909.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
31,"Fullstack Team Lead (NodeJS / ReactJS) - 5 Năm Kinh Nghiệm - Làm Việc Tại Lê Đức Thọ, HN - Phúc Lợi Tốt, Thu Nhập 25 Triệu +++",CÔNG TY CỔ PHẦN YANSOFT,Từ 25 triệu,https://www.topcv.vn/viec-lam/fullstack-team-lead-nodejs-reactjs-5-nam-kinh-nghiem-lam-viec-tai-le-duc-tho-hn-phuc-loi-tot-thu-nhap-25-trieu/2116548.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
32,Nhân Viên Hành Chính,CÔNG TY CỔ PHẦN DƯỢC PHẨM MINH KỲ,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-hanh-chinh/2109713.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
33,"Biên Dịch Tiếng Trung, Không Yêu Cầu Kinh Nghiệm, Thu Nhập Hấp Dẫn Từ 9 - 15 Triệu",CÔNG TY TNHH GST,9 - 15 triệu,https://www.topcv.vn/viec-lam/bien-dich-tieng-trung-khong-yeu-cau-kinh-nghiem-thu-nhap-hap-dan-tu-9-15-trieu/2111669.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
34,Giáo Viên Toán Online,CÔNG TY CỔ PHẦN DREAM VIET EDUCATION,2 - 10 triệu,https://www.topcv.vn/viec-lam/giao-vien-toan-online/2109933.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
